Episode 206	Step 214986	Time 3571.43	Epsilon 0.01	Reward 1655.0
Episode 207	Step 215752	Time 3583.60	Epsilon 0.01	Reward 1873.0
Episode 208	Step 216120	Time 3589.24	Epsilon 0.01	Reward 1477.0
Episode 209	Step 218187	Time 3625.35	Epsilon 0.01	Reward 912.0
Episode 210	Step 220362	Time 3660.37	Epsilon 0.01	Reward 1614.0
Episode 211	Step 221165	Time 3675.75	Epsilon 0.01	Reward 1135.0
Episode 212	Step 221975	Time 3689.27	Epsilon 0.01	Reward 1957.0
Episode 213	Step 222844	Time 3703.02	Epsilon 0.01	Reward 1482.0
Episode 214	Step 223053	Time 3708.15	Epsilon 0.01	Reward 1299.0
Episode 215	Step 223696	Time 3718.71	Epsilon 0.01	Reward 1553.0
Episode 216	Step 228235	Time 3794.99	Epsilon 0.01	Reward 1597.0
Episode 217	Step 228763	Time 3803.25	Epsilon 0.01	Reward 1997.0
Episode 218	Step 229029	Time 3807.47	Epsilon 0.01	Reward 1096.0
Episode 219	Step 229187	Time 3811.76	Epsilon 0.01	Reward 1064.0
Episode 220	Step 230750	Time 3836.16	Epsilon 0.01	Reward 1282.0
Episode 221	Step 231778	Time 3855.17	Epsilon 0.01	Reward 2028.0
Episode 222	Step 234269	Time 3896.23	Epsilon 0.01	Reward 1645.0
Episode 223	Step 234594	Time 3901.31	Epsilon 0.01	Reward 1668.0
Episode 224	Step 234895	Time 3906.13	Epsilon 0.01	Reward 1775.0
Episode 225	Step 237330	Time 3947.13	Epsilon 0.01	Reward 1823.0
Episode 226	Step 238211	Time 3963.41	Epsilon 0.01	Reward 1928.0
Episode 227	Step 238309	Time 3965.03	Epsilon 0.01	Reward 689.0
Episode 228	Step 239030	Time 3976.69	Epsilon 0.01	Reward 1115.0
Episode 229	Step 240416	Time 4001.06	Epsilon 0.01	Reward 1573.0
Episode 230	Step 240802	Time 4007.15	Epsilon 0.01	Reward 1462.0
Episode 231	Step 241490	Time 4020.40	Epsilon 0.01	Reward 1202.0
Episode 232	Step 242309	Time 4033.48	Epsilon 0.01	Reward 1530.0
Episode 233	Step 243450	Time 4051.25	Epsilon 0.01	Reward 1289.0
Episode 234	Step 243973	Time 4062.17	Epsilon 0.01	Reward 1769.0
Episode 235	Step 244524	Time 4070.88	Epsilon 0.01	Reward 1609.0
Episode 236	Step 244611	Time 4072.26	Epsilon 0.01	Reward 718.0
Episode 237	Step 246185	Time 4099.69	Epsilon 0.01	Reward 2663.0
Episode 238	Step 248239	Time 4134.48	Epsilon 0.01	Reward 1506.0
Episode 239	Step 249084	Time 4147.58	Epsilon 0.01	Reward 1705.0
Episode 240	Step 249724	Time 4160.35	Epsilon 0.01	Reward 1134.0
Episode 241	Step 250834	Time 4178.04	Epsilon 0.01	Reward 2512.0
Episode 242	Step 251941	Time 4198.17	Epsilon 0.01	Reward 1671.0
Episode 243	Step 252893	Time 4213.08	Epsilon 0.01	Reward 1502.0
Episode 244	Step 253200	Time 4217.97	Epsilon 0.01	Reward 1454.0
Episode 245	Step 255329	Time 4254.28	Epsilon 0.01	Reward 1614.0
